dist,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,1.77,1.35,0.66,0.87,0.68,0.30,0.63,0.34,1.65,0.73,0.40,0.99,1.53,0.69,0.83
1,1.77,0,1.77,0.30,1.17,3.15,2.63,0.31,1.40,0.00,3.51,1.44,5.24,2.76,4.54,2.36
2,1.35,1.77,0,0.94,0.09,0.66,0.80,0.93,2.50,1.67,4.07,2.66,2.50,0.12,3.45,0.19
3,0.66,0.30,0.94,0,0.46,1.57,1.17,0.00,0.69,0.24,2.17,0.75,3.05,1.57,2.66,1.12
4,0.87,1.17,0.09,0.46,0,0.66,0.64,0.45,1.70,1.09,3.17,1.82,2.33,0.34,2.86,0.23
5,0.68,3.15,0.66,1.57,0.66,0,0.08,1.54,1.98,2.98,2.42,2.12,0.61,0.41,1.43,0.14
6,0.30,2.63,0.80,1.17,0.64,0.08,0,1.14,1.29,2.47,1.66,1.40,0.53,0.68,0.97,0.25
7,0.63,0.31,0.93,0.00,0.45,1.54,1.14,0,0.68,0.26,2.14,0.74,3.00,1.55,2.62,1.10
8,0.34,1.40,2.50,0.69,1.70,1.98,1.29,0.68,0,1.31,0.48,0.00,2.23,3.03,1.15,2.07
9,1.65,0.00,1.67,0.24,1.09,2.98,2.47,0.26,1.31,0,3.36,1.35,5.01,2.62,4.34,2.22
10,0.73,3.51,4.07,2.17,3.17,2.42,1.66,2.14,0.48,3.36,0,0.46,1.60,4.29,0.38,3.03
11,0.40,1.44,2.66,0.75,1.82,2.12,1.40,0.74,0.00,1.35,0.46,0,2.33,3.21,1.18,2.22
12,0.99,5.24,2.50,3.05,2.33,0.61,0.53,3.00,2.23,5.01,1.60,2.33,0,2.00,0.47,1.33
13,1.53,2.76,0.12,1.57,0.34,0.41,0.68,1.55,3.03,2.62,4.29,3.21,2.00,0,3.27,0.11
14,0.69,4.54,3.45,2.66,2.86,1.43,0.97,2.62,1.15,4.34,0.38,1.18,0.47,3.27,0,2.21
15,0.83,2.36,0.19,1.12,0.23,0.14,0.25,1.10,2.07,2.22,3.03,2.22,1.33,0.11,2.21,0
